fine_label	utterance
UNK:UNK	As suculentas são plantas populares para ambientes internos por serem fáceis de cuidar e requererem pouca água.
UNK:UNK	A inteligência artificial tem evoluído rapidamente nos últimos anos, permitindo o desenvolvimento de assistentes virtuais.
UNK:UNK	Os golfinhos são mamíferos marinhos conhecidos por sua inteligência e habilidades de comunicação.
UNK:UNK	A fotossíntese é o processo pelo qual as plantas convertem a luz solar em energia.
UNK:UNK	A receita de lasanha clássica italiana começa com camadas de massa fresca intercaladas com molho de tomate e carne moída.
UNK:UNK	A cidade de Lisboa é famosa por sua arquitetura histórica e ruas de paralelepípedos.
UNK:UNK	O camaleão é um réptil conhecido por sua habilidade de mudar de cor.
UNK:UNK	O efeito placebo ocorre quando uma pessoa experimenta benefícios após receber um tratamento inerte.
UNK:UNK	O efeito placebo ocorre quando uma pessoa experimenta benefícios após receber um tratamento inerte.
UNK:UNK	O jazz é um gênero musical que surgiu no início do século XX nos Estados Unidos, combinando elementos do blues e do ragtime.
UNK:UNK	O camaleão é um réptil conhecido por sua habilidade de mudar de cor.
UNK:UNK	O deserto do Saara, localizado no norte da África, é o maior deserto quente do mundo.
UNK:UNK	O impressionismo foi um movimento artístico que surgiu no final do século XIX na França.
UNK:UNK	A inteligência artificial tem evoluído rapidamente nos últimos anos, permitindo o desenvolvimento de assistentes virtuais.
UNK:UNK	O impressionismo foi um movimento artístico que surgiu no final do século XIX na França.
UNK:UNK	O tênis é um esporte que combina resistência física com habilidade e estratégia.
UNK:UNK	O tênis é um esporte que combina resistência física com habilidade e estratégia.
UNK:UNK	A leitura é uma atividade que pode melhorar o vocabulário, estimular a imaginação e até aumentar a empatia.
UNK:UNK	A inteligência artificial tem evoluído rapidamente nos últimos anos, permitindo o desenvolvimento de assistentes virtuais.
UNK:UNK	A Via Láctea, a galáxia em que vivemos, contém bilhões de estrelas e sistemas planetários.
UNK:UNK	As suculentas são plantas populares para ambientes internos por serem fáceis de cuidar e requererem pouca água.
UNK:UNK	O efeito placebo ocorre quando uma pessoa experimenta benefícios após receber um tratamento inerte.
UNK:UNK	O efeito placebo ocorre quando uma pessoa experimenta benefícios após receber um tratamento inerte.
UNK:UNK	O camaleão é um réptil conhecido por sua habilidade de mudar de cor.
UNK:UNK	Estudos mostram que métodos de ensino que incentivam a participação ativa dos alunos têm melhores resultados.
UNK:UNK	O impressionismo foi um movimento artístico que surgiu no final do século XIX na França.
UNK:UNK	O efeito placebo ocorre quando uma pessoa experimenta benefícios após receber um tratamento inerte.
UNK:UNK	A leitura é uma atividade que pode melhorar o vocabulário, estimular a imaginação e até aumentar a empatia.
UNK:UNK	A compostagem é uma prática sustentável que transforma restos de alimentos e resíduos orgânicos em adubo.
UNK:UNK	A fotossíntese é o processo pelo qual as plantas convertem a luz solar em energia.
UNK:UNK	O efeito placebo ocorre quando uma pessoa experimenta benefícios após receber um tratamento inerte.
UNK:UNK	A Via Láctea, a galáxia em que vivemos, contém bilhões de estrelas e sistemas planetários.
UNK:UNK	Estudos mostram que métodos de ensino que incentivam a participação ativa dos alunos têm melhores resultados.
UNK:UNK	O jazz é um gênero musical que surgiu no início do século XX nos Estados Unidos, combinando elementos do blues e do ragtime.
UNK:UNK	A compostagem é uma prática sustentável que transforma restos de alimentos e resíduos orgânicos em adubo.
UNK:UNK	Os golfinhos são mamíferos marinhos conhecidos por sua inteligência e habilidades de comunicação.
UNK:UNK	O impressionismo foi um movimento artístico que surgiu no final do século XIX na França.
UNK:UNK	O deserto do Saara, localizado no norte da África, é o maior deserto quente do mundo.
UNK:UNK	A inteligência artificial tem evoluído rapidamente nos últimos anos, permitindo o desenvolvimento de assistentes virtuais.
UNK:UNK	O jazz é um gênero musical que surgiu no início do século XX nos Estados Unidos, combinando elementos do blues e do ragtime.
UNK:UNK	O impressionismo foi um movimento artístico que surgiu no final do século XIX na França.
UNK:UNK	O tênis é um esporte que combina resistência física com habilidade e estratégia.
UNK:UNK	A cidade de Lisboa é famosa por sua arquitetura histórica e ruas de paralelepípedos.
UNK:UNK	A fotossíntese é o processo pelo qual as plantas convertem a luz solar em energia.
UNK:UNK	A leitura é uma atividade que pode melhorar o vocabulário, estimular a imaginação e até aumentar a empatia.
UNK:UNK	Estudos mostram que métodos de ensino que incentivam a participação ativa dos alunos têm melhores resultados.
UNK:UNK	O tênis é um esporte que combina resistência física com habilidade e estratégia.
UNK:UNK	A regra dos terços é uma técnica de composição que ajuda a criar imagens visualmente equilibradas.
UNK:UNK	O deserto do Saara, localizado no norte da África, é o maior deserto quente do mundo.
UNK:UNK	A economia compartilhada é um modelo que permite o acesso temporário a produtos e serviços sem a necessidade de posse.
UNK:UNK	A Via Láctea, a galáxia em que vivemos, contém bilhões de estrelas e sistemas planetários.
UNK:UNK	O tênis é um esporte que combina resistência física com habilidade e estratégia.
UNK:UNK	As suculentas são plantas populares para ambientes internos por serem fáceis de cuidar e requererem pouca água.
UNK:UNK	A inteligência artificial tem evoluído rapidamente nos últimos anos, permitindo o desenvolvimento de assistentes virtuais.
UNK:UNK	A Via Láctea, a galáxia em que vivemos, contém bilhões de estrelas e sistemas planetários.
UNK:UNK	Os golfinhos são mamíferos marinhos conhecidos por sua inteligência e habilidades de comunicação.
UNK:UNK	A inteligência artificial tem evoluído rapidamente nos últimos anos, permitindo o desenvolvimento de assistentes virtuais.
UNK:UNK	O deserto do Saara, localizado no norte da África, é o maior deserto quente do mundo.
UNK:UNK	O efeito placebo ocorre quando uma pessoa experimenta benefícios após receber um tratamento inerte.
UNK:UNK	Estudos mostram que métodos de ensino que incentivam a participação ativa dos alunos têm melhores resultados.
UNK:UNK	O deserto do Saara, localizado no norte da África, é o maior deserto quente do mundo.
UNK:UNK	Os golfinhos são mamíferos marinhos conhecidos por sua inteligência e habilidades de comunicação.
UNK:UNK	A fotossíntese é o processo pelo qual as plantas convertem a luz solar em energia.
UNK:UNK	Estudos mostram que métodos de ensino que incentivam a participação ativa dos alunos têm melhores resultados.
UNK:UNK	O deserto do Saara, localizado no norte da África, é o maior deserto quente do mundo.
UNK:UNK	A leitura é uma atividade que pode melhorar o vocabulário, estimular a imaginação e até aumentar a empatia.
UNK:UNK	A leitura é uma atividade que pode melhorar o vocabulário, estimular a imaginação e até aumentar a empatia.
UNK:UNK	O tênis é um esporte que combina resistência física com habilidade e estratégia.
UNK:UNK	O camaleão é um réptil conhecido por sua habilidade de mudar de cor.
UNK:UNK	A compostagem é uma prática sustentável que transforma restos de alimentos e resíduos orgânicos em adubo.
UNK:UNK	Os golfinhos são mamíferos marinhos conhecidos por sua inteligência e habilidades de comunicação.
UNK:UNK	A cidade de Lisboa é famosa por sua arquitetura histórica e ruas de paralelepípedos.
UNK:UNK	A fotossíntese é o processo pelo qual as plantas convertem a luz solar em energia.
UNK:UNK	A leitura é uma atividade que pode melhorar o vocabulário, estimular a imaginação e até aumentar a empatia.
UNK:UNK	Os golfinhos são mamíferos marinhos conhecidos por sua inteligência e habilidades de comunicação.
UNK:UNK	A Via Láctea, a galáxia em que vivemos, contém bilhões de estrelas e sistemas planetários.
UNK:UNK	As suculentas são plantas populares para ambientes internos por serem fáceis de cuidar e requererem pouca água.
UNK:UNK	A regra dos terços é uma técnica de composição que ajuda a criar imagens visualmente equilibradas.
UNK:UNK	O efeito placebo ocorre quando uma pessoa experimenta benefícios após receber um tratamento inerte.
UNK:UNK	A cidade de Lisboa é famosa por sua arquitetura histórica e ruas de paralelepípedos.
UNK:UNK	A leitura é uma atividade que pode melhorar o vocabulário, estimular a imaginação e até aumentar a empatia.
UNK:UNK	O deserto do Saara, localizado no norte da África, é o maior deserto quente do mundo.
UNK:UNK	A regra dos terços é uma técnica de composição que ajuda a criar imagens visualmente equilibradas.
UNK:UNK	O tênis é um esporte que combina resistência física com habilidade e estratégia.
UNK:UNK	Os golfinhos são mamíferos marinhos conhecidos por sua inteligência e habilidades de comunicação.
UNK:UNK	A prática de meditação diária pode trazer inúmeros benefícios à saúde mental, como a redução do estresse e da ansiedade.
UNK:UNK	O tênis é um esporte que combina resistência física com habilidade e estratégia.
UNK:UNK	A compostagem é uma prática sustentável que transforma restos de alimentos e resíduos orgânicos em adubo.
UNK:UNK	A leitura é uma atividade que pode melhorar o vocabulário, estimular a imaginação e até aumentar a empatia.
UNK:UNK	A regra dos terços é uma técnica de composição que ajuda a criar imagens visualmente equilibradas.
UNK:UNK	A cidade de Lisboa é famosa por sua arquitetura histórica e ruas de paralelepípedos.
UNK:UNK	A inteligência artificial tem evoluído rapidamente nos últimos anos, permitindo o desenvolvimento de assistentes virtuais.
UNK:UNK	A receita de lasanha clássica italiana começa com camadas de massa fresca intercaladas com molho de tomate e carne moída.
UNK:UNK	A Via Láctea, a galáxia em que vivemos, contém bilhões de estrelas e sistemas planetários.
UNK:UNK	A leitura é uma atividade que pode melhorar o vocabulário, estimular a imaginação e até aumentar a empatia.
UNK:UNK	A Via Láctea, a galáxia em que vivemos, contém bilhões de estrelas e sistemas planetários.
UNK:UNK	A economia compartilhada é um modelo que permite o acesso temporário a produtos e serviços sem a necessidade de posse.
UNK:UNK	O efeito placebo ocorre quando uma pessoa experimenta benefícios após receber um tratamento inerte.
UNK:UNK	O jazz é um gênero musical que surgiu no início do século XX nos Estados Unidos, combinando elementos do blues e do ragtime.
UNK:UNK	A inteligência artificial tem evoluído rapidamente nos últimos anos, permitindo o desenvolvimento de assistentes virtuais.
UNK:UNK	A invenção da imprensa por Johannes Gutenberg no século XV revolucionou a disseminação de informações.
UNK:UNK	O camaleão é um réptil conhecido por sua habilidade de mudar de cor.
UNK:UNK	A leitura é uma atividade que pode melhorar o vocabulário, estimular a imaginação e até aumentar a empatia.
UNK:UNK	A inteligência artificial tem evoluído rapidamente nos últimos anos, permitindo o desenvolvimento de assistentes virtuais.
UNK:UNK	A regra dos terços é uma técnica de composição que ajuda a criar imagens visualmente equilibradas.
UNK:UNK	O camaleão é um réptil conhecido por sua habilidade de mudar de cor.
UNK:UNK	O tênis é um esporte que combina resistência física com habilidade e estratégia.
UNK:UNK	O impressionismo foi um movimento artístico que surgiu no final do século XIX na França.
UNK:UNK	A economia compartilhada é um modelo que permite o acesso temporário a produtos e serviços sem a necessidade de posse.
UNK:UNK	Estudos mostram que métodos de ensino que incentivam a participação ativa dos alunos têm melhores resultados.
UNK:UNK	A prática de meditação diária pode trazer inúmeros benefícios à saúde mental, como a redução do estresse e da ansiedade.
UNK:UNK	O camaleão é um réptil conhecido por sua habilidade de mudar de cor.
UNK:UNK	O efeito placebo ocorre quando uma pessoa experimenta benefícios após receber um tratamento inerte.
UNK:UNK	A compostagem é uma prática sustentável que transforma restos de alimentos e resíduos orgânicos em adubo.
UNK:UNK	A inteligência artificial tem evoluído rapidamente nos últimos anos, permitindo o desenvolvimento de assistentes virtuais.
UNK:UNK	O tênis é um esporte que combina resistência física com habilidade e estratégia.
UNK:UNK	Estudos mostram que métodos de ensino que incentivam a participação ativa dos alunos têm melhores resultados.
